ID,Organism,Strain,Molecule product,DB xref,location
KP281501.1,Canine coronavirus,CCoV/vaccine/passage2/clone35,N/A,taxon:11153,N/A
OP179857.1,Canine coronavirus,N/A,N/A,taxon:11153,Brazil
JQ422555.1,Canine coronavirus,AT/02/09/I/GR,N/A,taxon:11153,Greece
JQ422597.1,Canine coronavirus,TH/85/09/IIb/GR,N/A,taxon:11153,Greece
JQ404410.1,Canine coronavirus,TN-449,N/A,taxon:11153,N/A
MK986771.1,Canine coronavirus,CCoV/NTUCL6,N/A,taxon:11153,Taiwan
OP858698.1,Canine coronavirus,N/A,N/A,taxon:11153,India
KP281530.1,Canine coronavirus,CCoV/vaccine/passage5/clone30,N/A,taxon:11153,N/A
KT222974.1,Canine coronavirus,DQ-alpha1,N/A,taxon:11153,China
KP281538.1,Canine coronavirus,CCoV/vaccine/passage5/clone62,N/A,taxon:11153,N/A
OQ540920.1,Canine coronavirus,N/A,N/A,taxon:11153,China
GQ130255.1,Canine coronavirus,91/06,N/A,taxon:11153,United Kingdom
MK986768.1,Canine coronavirus,CCoV/NTUCL1,N/A,taxon:11153,Taiwan
OQ565737.1,Canine coronavirus,N/A,N/A,taxon:11153,Italy
OQ540909.1,Canine coronavirus,N/A,N/A,taxon:11153,China
KP281487.1,Canine coronavirus,CCoV/vaccine/passage1/clone3,N/A,taxon:11153,N/A
OK340211.1,Canine coronavirus,SWU-SSX8/2021/CCoVIIa,N/A,taxon:11153,China
OP422923.1,Canine coronavirus,N/A,N/A,taxon:11153,China
MZ173445.1,Canine coronavirus,CCoV/GY0529,N/A,taxon:11153,China
JQ929041.1,Canine coronavirus,98/09-A,N/A,taxon:11153,Italy
GQ148760.1,Canine coronavirus,127/08,N/A,taxon:11153,Italy
KF312728.1,Canine coronavirus,1133-I,N/A,taxon:11153,Brazil
GQ148750.1,Canine coronavirus,123/03,N/A,taxon:11153,Italy
MW186833.1,Canine coronavirus,N/A,N/A,taxon:11153,Italy
KY063616.1,Canine coronavirus,N/A,N/A,taxon:11153,China
AY796289.1,Canine coronavirus 1-71,1-71,N/A,taxon:301047,N/A
GQ148759.1,Canine coronavirus,59/07,N/A,taxon:11153,Italy
GQ130265.1,Canine coronavirus,281/06-B,N/A,taxon:11153,Hungary
MW147007.1,Canine coronavirus,N/A,N/A,taxon:11153,Italy
JQ422587.1,Canine coronavirus,TH/17/09/IIb/GR,N/A,taxon:11153,Greece
DQ471935.1,Canine coronavirus,UPPS2/04,N/A,taxon:11153,Sweden
OQ565714.1,Canine coronavirus,N/A,N/A,taxon:11153,Italy
Q7T6T3.1,Canine coronavirus BGF10,N/A,N/A,taxon:441619,N/A
AF116246.1,Canine coronavirus,1-71,N/A,taxon:11153,N/A
OM864519.1,Canine coronavirus,N/A,N/A,taxon:11153,China
KF312722.1,Canine coronavirus,916-I,N/A,taxon:11153,Brazil
MZ320953.1,Canine coronavirus,N/A,N/A,taxon:11153,China
JQ422554.1,Canine coronavirus,TH/69/09/I/GR,N/A,taxon:11153,Greece
HQ339892.1,Canine coronavirus,44/07,N/A,taxon:11153,Tanzania
KT222996.1,Canine coronavirus,HRB-BB9,N/A,taxon:11153,China
KP281584.1,Canine coronavirus,CCoV/vaccine/passage9/clone113,N/A,taxon:11153,N/A
HQ339885.1,Canine coronavirus,42/04,N/A,taxon:11153,Tanzania
JQ422569.1,Canine coronavirus,TR/59/08/IIa/GR,N/A,taxon:11153,Greece
EF407999.1,Canine coronavirus,C3-44,N/A,taxon:11153,N/A
KF312730.1,Canine coronavirus,905-IIa,N/A,taxon:11153,Brazil
JQ422578.1,Canine coronavirus,TH/15/09/IIa/GR,N/A,taxon:11153,Greece
MK986777.1,Canine coronavirus,CCoV/NTUCL12,N/A,taxon:11153,Taiwan
KC138236.1,Canine coronavirus,N/A,N/A,taxon:11153,Brazil
MW407179.1,Canine coronavirus,N/A,N/A,taxon:11153,India
EF407996.1,Canine coronavirus,C14-31,N/A,taxon:11153,N/A
GQ130251.1,Canine coronavirus,294/06-B,N/A,taxon:11153,Italy
HQ450376.1,Canine coronavirus,66/09,N/A,taxon:11153,Greece
OX335623.1,Canine coronavirus,N/A,N/A,taxon:11153,N/A
JQ422595.1,Canine coronavirus,TH/67/09/IIb/GR,N/A,taxon:11153,Greece
AY436637.1,Canine coronavirus,canine coronavirus giant panda strain,N/A,taxon:11153,China
JQ422588.1,Canine coronavirus,TH/22/09/IIb/GR,N/A,taxon:11153,Greece
